id,título,año,género,director,duración,calificación,país
1515,Pulp Fiction,2020,Musical,Steven Spielberg,173,1.2,Canada
1516,Star Wars,2009,Acción,Christopher Nolan,178,9.3,Italy
1517,Star Wars,1976,Animación,Bong Joon-ho,99,6.7,Germany
1518,La La Land,2023,Drama,Francis Ford Coppola,176,6.0,Germany
1519,Gladiator,1976,Drama,Ridley Scott,175,5.1,Spain
1520,Spirited Away,1982,Crimen,Quentin Tarantino,170,1.2,South Korea
1521,The Lord of the Rings,1972,Ciencia Ficción,Hayao Miyazaki,91,1.4,Germany
1522,Forrest Gump,2011,Romance,Steven Spielberg,168,3.6,USA
1523,The Matrix,2017,Acción,Hayao Miyazaki,139,3.5,Canada
1524,The Matrix,1985,Drama,James Cameron,93,4.8,Germany
1525,The Godfather,2016,Animación,George Lucas,133,4.1,Germany
1526,Parasite,1954,Crimen,Bong Joon-ho,122,3.9,Spain
1527,The Shawshank Redemption,1965,Animación,Steven Spielberg,112,8.1,France
1528,The Shawshank Redemption,1956,Comedia,Peter Jackson,179,4.2,Canada
1529,La La Land,1957,Ciencia Ficción,David Fincher,116,9.9,Australia
1530,The Dark Knight,1955,Musical,Quentin Tarantino,127,1.6,South Korea
1531,The Dark Knight,1999,Romance,George Lucas,102,6.1,Germany
1532,Titanic,1963,Romance,Christopher Nolan,132,2.1,Spain
1533,Jurassic Park,1977,Ciencia Ficción,Peter Jackson,122,6.8,Canada
1534,The Matrix,2006,Thriller,Peter Jackson,93,6.8,Canada
1535,The Matrix,1981,Romance,George Lucas,81,5.6,Japan
1536,Star Wars,1977,Comedia,Steven Spielberg,131,6.4,Spain
1537,Titanic,1985,Drama,Martin Scorsese,105,1.3,France
1538,The Dark Knight,1959,Animación,Christopher Nolan,109,1.6,Spain
1539,Avengers: Endgame,1979,Drama,Wachowski Sisters,137,8.6,Germany
1540,The Dark Knight,1964,Comedia,Martin Scorsese,168,8.0,Italy
1541,Parasite,2002,Crimen,Hayao Miyazaki,120,8.7,Spain
1542,Jurassic Park,2013,Animación,Quentin Tarantino,126,5.3,Germany
1543,The Lion King,2018,Animación,Ridley Scott,115,8.1,France
1544,The Godfather,2003,Comedia,Christopher Nolan,164,8.4,South Korea
1545,Interstellar,1980,Comedia,Damien Chazelle,107,9.5,Japan
1546,Inception,1967,Drama,Ridley Scott,102,2.8,UK
1547,The Godfather,1993,Ciencia Ficción,George Lucas,178,6.1,Germany
1548,The Lion King,2009,Historia,Francis Ford Coppola,153,7.6,Canada
1549,Star Wars,1995,Thriller,Damien Chazelle,157,3.2,Japan
1550,Gladiator,1969,Romance,Christopher Nolan,104,6.6,South Korea
1551,The Lion King,1990,Crimen,Christopher Nolan,97,8.9,Germany
1552,Spirited Away,2009,Drama,Peter Jackson,138,4.1,Spain
1553,The Dark Knight,2009,Romance,David Fincher,129,1.9,Australia
1554,The Matrix,1999,Historia,Damien Chazelle,134,9.7,Australia
1555,Avengers: Endgame,1992,Musical,Martin Scorsese,134,9.8,Germany
1556,La La Land,1965,Thriller,Martin Scorsese,162,2.1,UK
1557,The Shawshank Redemption,1961,Ciencia Ficción,Hayao Miyazaki,110,9.4,Australia
1558,Titanic,1955,Thriller,James Cameron,106,9.2,Italy
1559,Jurassic Park,1956,Crimen,David Fincher,166,1.8,South Korea
1560,Titanic,1959,Comedia,Martin Scorsese,81,5.6,Canada
1561,Parasite,1979,Animación,James Cameron,150,6.7,Japan
1562,Inception,1951,Drama,Hayao Miyazaki,148,6.3,Germany
1563,The Shawshank Redemption,2016,Romance,Bong Joon-ho,132,5.6,UK
1564,The Dark Knight,2001,Acción,Peter Jackson,170,6.3,USA
1565,The Godfather,2022,Acción,Damien Chazelle,138,8.9,USA
1566,Interstellar,1982,Musical,Christopher Nolan,133,6.3,Australia
1567,The Matrix,1967,Historia,Wachowski Sisters,149,9.9,USA
1568,Parasite,1956,Acción,Damien Chazelle,96,2.1,Germany
1569,The Lion King,1997,Comedia,Damien Chazelle,141,7.9,South Korea
1570,Titanic,1993,Acción,Peter Jackson,116,6.8,USA
1571,The Godfather,1959,Animación,Hayao Miyazaki,109,2.9,France
1572,Interstellar,1981,Historia,Damien Chazelle,140,7.0,Canada
1573,Interstellar,1979,Ciencia Ficción,James Cameron,174,2.3,France
1574,La La Land,2003,Drama,Steven Spielberg,137,2.7,Spain
1575,The Shawshank Redemption,1980,Historia,Damien Chazelle,142,7.6,Canada
1576,The Lord of the Rings,1984,Drama,Ridley Scott,161,3.3,USA
1577,Inception,1974,Ciencia Ficción,George Lucas,96,3.0,USA
1578,The Dark Knight,2004,Crimen,Bong Joon-ho,149,4.8,UK
1579,The Lord of the Rings,1981,Ciencia Ficción,Quentin Tarantino,155,9.0,USA
1580,Titanic,1950,Acción,Martin Scorsese,122,1.2,France
1581,Interstellar,2002,Acción,Damien Chazelle,87,7.3,UK
1582,The Lord of the Rings,1965,Drama,Ridley Scott,128,2.3,Spain
1583,Pulp Fiction,1973,Historia,Bong Joon-ho,92,3.8,Canada
1584,Titanic,1961,Ciencia Ficción,Martin Scorsese,164,3.0,Italy
1585,Interstellar,1962,Comedia,Damien Chazelle,168,5.7,USA
1586,Inception,1985,Drama,Francis Ford Coppola,157,4.7,UK
1587,The Dark Knight,1981,Romance,Damien Chazelle,95,10.0,Germany
1588,Gladiator,1982,Historia,Ridley Scott,92,5.5,Canada
1589,Fight Club,2007,Crimen,Bong Joon-ho,150,7.5,Japan
1590,The Shawshank Redemption,1972,Comedia,Peter Jackson,147,5.8,Japan
1591,The Godfather,1995,Thriller,Peter Jackson,144,7.2,USA
1592,Gladiator,1950,Drama,Hayao Miyazaki,83,5.2,UK
1593,Titanic,1969,Acción,Damien Chazelle,117,8.6,Spain
1594,Schindler's List,1965,Comedia,George Lucas,93,3.7,Germany
1595,Titanic,2009,Drama,Damien Chazelle,178,8.2,Canada
1596,Parasite,1951,Romance,Martin Scorsese,95,4.2,UK
1597,Pulp Fiction,1952,Thriller,Hayao Miyazaki,99,9.4,UK
1598,The Lion King,2013,Thriller,Steven Spielberg,175,6.0,Italy
1599,Schindler's List,2007,Thriller,Martin Scorsese,89,7.6,UK
1600,Spirited Away,2014,Ciencia Ficción,George Lucas,126,7.4,Japan
1601,Inception,1972,Crimen,Steven Spielberg,133,9.6,Australia
1602,Fight Club,1996,Comedia,Damien Chazelle,164,2.5,Japan
1603,Inception,1966,Acción,Damien Chazelle,110,1.0,Canada
1604,La La Land,1960,Drama,James Cameron,146,6.6,Germany
1605,Avengers: Endgame,2010,Crimen,Francis Ford Coppola,174,8.4,Spain
1606,Avengers: Endgame,1967,Animación,Ridley Scott,97,6.6,France
1607,The Matrix,1977,Ciencia Ficción,Damien Chazelle,117,2.3,Spain
1608,Parasite,1954,Comedia,David Fincher,179,7.4,UK
1609,The Dark Knight,2012,Thriller,James Cameron,123,7.5,France
1610,Gladiator,1953,Crimen,George Lucas,98,1.7,Australia
1611,Fight Club,2020,Drama,George Lucas,90,6.5,Italy
1612,The Godfather,1998,Romance,Bong Joon-ho,137,7.8,USA
1613,The Godfather,2008,Romance,Damien Chazelle,153,1.1,Japan
1614,Star Wars,2015,Acción,Steven Spielberg,166,5.1,Spain
1615,Avengers: Endgame,2011,Crimen,Hayao Miyazaki,143,1.6,Italy
1616,The Dark Knight,2013,Crimen,Christopher Nolan,138,2.5,Canada
1617,Forrest Gump,2015,Crimen,Hayao Miyazaki,96,4.1,UK
1618,Titanic,1951,Thriller,Bong Joon-ho,161,4.9,UK
1619,Schindler's List,2011,Historia,Christopher Nolan,151,7.7,South Korea
1620,The Matrix,2023,Drama,David Fincher,106,4.6,Spain
1621,Fight Club,1954,Drama,Ridley Scott,101,3.6,USA
1622,Spirited Away,2012,Musical,Damien Chazelle,125,9.0,UK
1623,Titanic,1980,Thriller,Francis Ford Coppola,151,2.4,Japan
1624,Star Wars,1968,Ciencia Ficción,George Lucas,167,9.0,Australia
1625,The Godfather,1993,Thriller,Damien Chazelle,92,1.8,Germany
1626,Forrest Gump,1960,Romance,Bong Joon-ho,82,6.7,Australia
1627,Pulp Fiction,1997,Musical,Christopher Nolan,95,9.7,Italy
1628,Forrest Gump,1972,Comedia,Ridley Scott,163,1.3,South Korea
1629,Fight Club,1993,Romance,Steven Spielberg,170,9.4,Germany
1630,Parasite,1970,Ciencia Ficción,Christopher Nolan,151,8.1,Japan
1631,Inception,2012,Comedia,Francis Ford Coppola,122,4.5,USA
1632,Star Wars,1969,Acción,Quentin Tarantino,169,7.5,Australia
1633,Parasite,1952,Romance,Martin Scorsese,85,8.2,Australia
1634,Jurassic Park,2007,Romance,James Cameron,110,1.3,Canada
1635,Spirited Away,1958,Ciencia Ficción,Quentin Tarantino,125,7.7,UK
1636,Gladiator,1982,Drama,Hayao Miyazaki,85,4.5,Australia
1637,Star Wars,2003,Historia,Steven Spielberg,121,4.2,UK
1638,Fight Club,2005,Ciencia Ficción,Francis Ford Coppola,87,5.7,Spain
1639,Gladiator,2014,Thriller,Peter Jackson,146,1.7,Australia
1640,Titanic,1971,Ciencia Ficción,Hayao Miyazaki,138,6.1,UK
1641,The Lord of the Rings,1971,Acción,Damien Chazelle,140,1.8,South Korea
1642,Inception,1980,Acción,George Lucas,164,8.4,USA
1643,Pulp Fiction,2021,Ciencia Ficción,Hayao Miyazaki,95,8.4,South Korea
1644,The Matrix,2022,Acción,James Cameron,105,1.9,Italy
1645,Jurassic Park,2015,Historia,Wachowski Sisters,163,9.2,Italy
1646,The Lord of the Rings,1965,Ciencia Ficción,David Fincher,121,3.2,UK
1647,Titanic,1959,Romance,Bong Joon-ho,110,1.9,Canada
1648,Avengers: Endgame,2001,Musical,Martin Scorsese,123,5.9,UK
1649,La La Land,1964,Acción,George Lucas,143,6.3,Japan
1650,Jurassic Park,2018,Crimen,Wachowski Sisters,162,8.5,UK
1651,Fight Club,1971,Ciencia Ficción,Bong Joon-ho,161,1.9,Italy
1652,The Lion King,2019,Drama,Ridley Scott,165,8.4,Italy
1653,Schindler's List,1993,Ciencia Ficción,Martin Scorsese,124,1.2,France
1654,Jurassic Park,1974,Musical,Wachowski Sisters,119,3.8,UK
1655,The Godfather,1964,Ciencia Ficción,David Fincher,93,6.4,South Korea
1656,The Dark Knight,2015,Comedia,Steven Spielberg,92,5.1,Canada
1657,Parasite,2019,Acción,Christopher Nolan,85,5.4,France
1658,Schindler's List,1955,Musical,Bong Joon-ho,179,1.5,Australia
1659,Gladiator,1984,Romance,David Fincher,153,6.7,Australia
1660,The Lord of the Rings,2001,Crimen,Peter Jackson,126,1.6,Germany
1661,Inception,1997,Ciencia Ficción,James Cameron,175,9.7,Canada
1662,Forrest Gump,2011,Drama,Damien Chazelle,160,9.4,USA
1663,The Matrix,1952,Ciencia Ficción,Christopher Nolan,142,9.9,Italy
1664,Fight Club,1972,Comedia,David Fincher,88,1.7,UK
1665,La La Land,1994,Comedia,Damien Chazelle,163,8.3,Italy
1666,The Matrix,1989,Thriller,George Lucas,120,6.3,Spain
1667,Schindler's List,2014,Comedia,Christopher Nolan,139,9.5,Canada
1668,Interstellar,2004,Historia,Francis Ford Coppola,152,1.2,USA
1669,Spirited Away,2023,Drama,Martin Scorsese,111,9.3,UK
1670,Parasite,2008,Crimen,George Lucas,160,6.7,Italy
1671,Jurassic Park,1988,Ciencia Ficción,Hayao Miyazaki,104,4.2,Italy
1672,Jurassic Park,1998,Ciencia Ficción,Quentin Tarantino,114,9.6,Spain
1673,The Lord of the Rings,1955,Animación,David Fincher,143,4.8,South Korea
1674,Spirited Away,2009,Comedia,Francis Ford Coppola,138,7.6,Germany
1675,The Lion King,1990,Ciencia Ficción,Damien Chazelle,148,2.8,UK
1676,Star Wars,2008,Drama,George Lucas,103,4.6,France
1677,Gladiator,1993,Comedia,Peter Jackson,114,1.3,Spain
1678,Gladiator,2004,Crimen,Damien Chazelle,178,2.7,Germany
1679,La La Land,2011,Comedia,David Fincher,134,3.8,Germany
1680,The Lion King,2021,Musical,David Fincher,136,2.5,Germany
1681,The Lord of the Rings,1988,Thriller,Damien Chazelle,162,1.5,USA
1682,Avengers: Endgame,2010,Drama,Damien Chazelle,86,4.7,Spain
1683,La La Land,2004,Acción,Quentin Tarantino,169,3.1,Spain
1684,Interstellar,1958,Ciencia Ficción,David Fincher,139,2.6,Australia
1685,The Godfather,1966,Drama,Francis Ford Coppola,142,2.5,South Korea
1686,Pulp Fiction,1996,Musical,Quentin Tarantino,142,8.4,Australia
1687,The Dark Knight,1959,Comedia,George Lucas,120,3.2,Japan
1688,Fight Club,1992,Drama,Christopher Nolan,134,6.1,UK
1689,Fight Club,1989,Ciencia Ficción,Martin Scorsese,161,3.0,UK
1690,The Lion King,1993,Animación,Christopher Nolan,91,4.4,Canada
1691,Fight Club,1965,Acción,George Lucas,109,2.9,Canada
1692,Interstellar,1963,Acción,Martin Scorsese,160,9.7,Germany
1693,Fight Club,1957,Comedia,Martin Scorsese,138,8.9,UK
1694,The Godfather,1968,Historia,Steven Spielberg,159,4.1,Canada
1695,The Lion King,2004,Ciencia Ficción,George Lucas,113,9.9,Canada
1696,Schindler's List,2007,Drama,Bong Joon-ho,116,7.2,Japan
1697,Spirited Away,2012,Musical,James Cameron,129,9.3,France
1698,The Lord of the Rings,1953,Historia,Peter Jackson,168,3.8,Spain
1699,La La Land,2012,Romance,Steven Spielberg,129,7.0,South Korea
1700,Fight Club,1986,Romance,Wachowski Sisters,118,7.7,South Korea
1701,La La Land,1980,Thriller,George Lucas,164,7.8,South Korea
1702,The Godfather,2007,Romance,Ridley Scott,138,1.8,South Korea
1703,The Godfather,1971,Drama,Damien Chazelle,149,2.7,Germany
1704,La La Land,1976,Romance,Francis Ford Coppola,146,4.9,Spain
1705,Interstellar,2017,Musical,Quentin Tarantino,179,6.7,Italy
1706,The Dark Knight,1961,Acción,Ridley Scott,172,6.4,South Korea
1707,Jurassic Park,1993,Romance,Steven Spielberg,112,8.5,Germany
1708,The Dark Knight,2012,Animación,George Lucas,94,5.1,Japan
1709,Avengers: Endgame,1953,Thriller,Steven Spielberg,114,9.8,France
1710,The Lord of the Rings,1974,Historia,Martin Scorsese,94,3.1,Australia
1711,The Godfather,1997,Romance,Ridley Scott,166,2.1,Spain
1712,Inception,2021,Acción,Damien Chazelle,163,5.9,USA
1713,Parasite,2009,Acción,James Cameron,87,2.7,Germany
1714,Spirited Away,1969,Thriller,Peter Jackson,150,8.8,France
1715,Inception,2014,Ciencia Ficción,David Fincher,80,4.6,USA
1716,Gladiator,2019,Acción,Martin Scorsese,105,3.0,Japan
1717,The Lord of the Rings,1988,Romance,David Fincher,137,3.1,Italy
1718,Interstellar,1995,Crimen,Peter Jackson,93,4.2,South Korea
1719,La La Land,2009,Ciencia Ficción,George Lucas,178,7.7,Spain
1720,Interstellar,2009,Crimen,Steven Spielberg,114,9.6,Japan
1721,Pulp Fiction,1992,Romance,Wachowski Sisters,116,3.1,France
1722,The Shawshank Redemption,1968,Drama,Bong Joon-ho,92,2.0,France
1723,The Matrix,1965,Comedia,Hayao Miyazaki,166,6.9,Spain
1724,Avengers: Endgame,2005,Animación,George Lucas,113,7.9,USA
1725,Avengers: Endgame,1975,Thriller,Francis Ford Coppola,93,1.7,France
1726,Spirited Away,1986,Ciencia Ficción,Peter Jackson,115,6.0,Australia
1727,The Matrix,1991,Ciencia Ficción,Christopher Nolan,117,4.4,Australia
1728,Interstellar,1991,Historia,James Cameron,179,6.2,UK
1729,Inception,1981,Musical,David Fincher,124,5.1,Australia
1730,Parasite,1999,Comedia,James Cameron,138,4.2,USA
1731,Interstellar,2023,Thriller,George Lucas,147,9.2,UK
1732,Fight Club,2000,Romance,Francis Ford Coppola,148,2.4,USA
1733,The Godfather,2002,Drama,David Fincher,150,2.0,Australia
1734,Parasite,2011,Acción,Steven Spielberg,83,3.3,Japan
1735,Pulp Fiction,1969,Romance,George Lucas,140,1.5,Australia
1736,Interstellar,1990,Acción,Wachowski Sisters,175,9.6,Spain
1737,Schindler's List,1989,Ciencia Ficción,Quentin Tarantino,178,2.6,USA
1738,Schindler's List,1970,Musical,David Fincher,172,7.7,Australia
1739,Titanic,2017,Musical,Martin Scorsese,161,1.0,Australia
1740,The Godfather,1974,Acción,Steven Spielberg,109,7.6,France
1741,Fight Club,1955,Musical,Damien Chazelle,81,3.2,UK
1742,The Matrix,1971,Drama,Steven Spielberg,170,2.1,UK
1743,Schindler's List,2022,Drama,Damien Chazelle,160,2.3,UK
1744,La La Land,1998,Musical,Peter Jackson,85,7.4,USA
1745,La La Land,1978,Acción,Quentin Tarantino,92,7.4,South Korea
1746,Interstellar,1971,Crimen,James Cameron,136,9.8,UK
1747,Interstellar,2020,Animación,Ridley Scott,95,2.7,South Korea
1748,The Shawshank Redemption,2003,Romance,Hayao Miyazaki,95,3.7,France
1749,Titanic,1987,Ciencia Ficción,Martin Scorsese,81,8.4,South Korea
1750,Pulp Fiction,2001,Musical,Hayao Miyazaki,161,8.3,France
1751,The Godfather,1958,Acción,Ridley Scott,151,4.8,Australia
1752,The Dark Knight,2018,Acción,Quentin Tarantino,159,9.5,Canada
1753,Star Wars,1955,Crimen,Steven Spielberg,158,7.4,USA
1754,Interstellar,1975,Animación,Wachowski Sisters,106,7.4,Canada
1755,The Godfather,1978,Musical,Peter Jackson,170,9.1,Germany
1756,Inception,2009,Crimen,James Cameron,138,4.0,Italy
1757,Fight Club,1991,Acción,Wachowski Sisters,103,2.8,UK
1758,The Lion King,1988,Musical,Wachowski Sisters,127,2.1,Australia
1759,Schindler's List,1960,Thriller,George Lucas,80,9.6,USA
1760,The Lord of the Rings,1971,Thriller,Bong Joon-ho,97,5.9,Germany
1761,Fight Club,1990,Musical,Ridley Scott,169,2.7,USA
1762,The Lion King,1963,Historia,David Fincher,128,6.3,Canada
1763,Pulp Fiction,1995,Romance,Christopher Nolan,172,5.0,South Korea
1764,The Lion King,1970,Thriller,Peter Jackson,103,6.5,Spain
1765,The Godfather,2016,Drama,Quentin Tarantino,113,4.0,UK
1766,The Matrix,2002,Ciencia Ficción,Francis Ford Coppola,135,9.8,Germany
1767,Forrest Gump,1978,Historia,Martin Scorsese,102,4.6,UK
1768,Fight Club,2018,Ciencia Ficción,Hayao Miyazaki,122,4.9,France
1769,Schindler's List,1971,Thriller,Steven Spielberg,135,3.0,France
1770,Pulp Fiction,1984,Drama,Peter Jackson,85,2.1,Japan
1771,Spirited Away,1994,Historia,Martin Scorsese,174,8.6,Australia
1772,Titanic,2013,Ciencia Ficción,George Lucas,159,9.9,Canada
1773,Schindler's List,1971,Crimen,Bong Joon-ho,127,6.3,USA
1774,Avengers: Endgame,1981,Historia,Peter Jackson,119,8.6,Spain
1775,Titanic,1959,Ciencia Ficción,Steven Spielberg,173,1.4,Spain
1776,Star Wars,1968,Historia,Damien Chazelle,116,6.2,Australia
1777,The Lord of the Rings,2009,Comedia,David Fincher,148,3.0,Italy
1778,Parasite,2011,Historia,Francis Ford Coppola,102,6.1,Australia
1779,Star Wars,2023,Crimen,Martin Scorsese,83,6.1,UK
1780,The Shawshank Redemption,1953,Acción,Christopher Nolan,144,1.7,Italy
1781,Schindler's List,1987,Musical,Quentin Tarantino,132,6.3,UK
1782,Parasite,2005,Thriller,Damien Chazelle,156,4.6,UK
1783,Star Wars,1970,Acción,Hayao Miyazaki,103,8.4,UK
1784,The Lion King,2015,Historia,Francis Ford Coppola,136,7.4,UK
1785,The Matrix,1952,Acción,James Cameron,93,3.1,Spain
1786,Forrest Gump,1983,Musical,Peter Jackson,90,2.2,France
1787,La La Land,1959,Comedia,Martin Scorsese,119,7.7,Italy
1788,Fight Club,1968,Crimen,Quentin Tarantino,167,3.7,Germany
1789,Forrest Gump,1979,Acción,Quentin Tarantino,124,7.1,USA
1790,Gladiator,2013,Crimen,Peter Jackson,135,4.7,France
1791,The Godfather,2011,Animación,Damien Chazelle,138,9.2,Spain
1792,Forrest Gump,1993,Acción,James Cameron,123,3.3,Germany
1793,Inception,1981,Drama,Steven Spielberg,110,8.3,Italy
1794,Spirited Away,1974,Romance,Damien Chazelle,136,1.2,Germany
1795,Interstellar,1954,Historia,David Fincher,84,8.4,Italy
1796,The Lion King,1983,Musical,David Fincher,80,3.6,Australia
1797,The Dark Knight,1960,Romance,James Cameron,170,4.7,Italy
1798,The Matrix,1964,Comedia,Steven Spielberg,113,3.8,USA
1799,Titanic,1997,Historia,Martin Scorsese,96,6.0,Germany
1800,Avengers: Endgame,2005,Thriller,Steven Spielberg,98,7.8,Italy
1801,La La Land,1975,Drama,Francis Ford Coppola,162,6.1,Australia
1802,The Godfather,2002,Comedia,George Lucas,102,9.5,Italy
1803,Inception,1974,Ciencia Ficción,Bong Joon-ho,111,9.8,Germany
1804,Jurassic Park,1968,Musical,Steven Spielberg,158,3.1,Italy
1805,The Dark Knight,1989,Drama,Steven Spielberg,143,1.3,Canada
1806,The Godfather,1955,Acción,Damien Chazelle,113,1.9,UK
1807,Schindler's List,1957,Musical,David Fincher,176,5.2,France
1808,Avengers: Endgame,1972,Acción,Francis Ford Coppola,141,5.3,Australia
1809,Pulp Fiction,1973,Romance,Hayao Miyazaki,126,5.7,South Korea
1810,Avengers: Endgame,1988,Historia,Martin Scorsese,112,2.5,Italy
1811,The Dark Knight,1982,Romance,Francis Ford Coppola,124,3.4,UK
1812,Forrest Gump,2020,Comedia,Christopher Nolan,164,9.3,France
1813,Pulp Fiction,2019,Romance,Martin Scorsese,125,5.2,South Korea
1814,Avengers: Endgame,1967,Musical,Peter Jackson,87,3.7,Canada
1815,Titanic,1980,Historia,Ridley Scott,145,6.6,Japan
1816,The Lion King,1999,Historia,Hayao Miyazaki,105,1.4,Canada
1817,Titanic,1980,Thriller,Martin Scorsese,171,7.3,Germany
1818,La La Land,2005,Thriller,Christopher Nolan,117,3.3,Germany
1819,Spirited Away,1986,Romance,Wachowski Sisters,144,9.8,Germany
1820,Fight Club,1989,Comedia,George Lucas,150,3.7,UK
1821,The Lion King,2004,Thriller,Hayao Miyazaki,171,2.6,Japan
1822,Titanic,2016,Animación,Hayao Miyazaki,105,6.7,South Korea
1823,Parasite,1989,Ciencia Ficción,David Fincher,159,1.3,Germany
1824,The Lion King,1973,Drama,Quentin Tarantino,103,4.7,Australia
1825,The Lion King,1964,Thriller,Wachowski Sisters,144,2.5,Spain
1826,The Dark Knight,1981,Comedia,Wachowski Sisters,171,2.7,France
1827,La La Land,2008,Musical,Christopher Nolan,107,9.7,South Korea
1828,The Shawshank Redemption,2020,Comedia,Wachowski Sisters,85,4.8,Italy
1829,Fight Club,2012,Ciencia Ficción,David Fincher,133,1.2,Japan
1830,Schindler's List,1954,Historia,Steven Spielberg,167,10.0,South Korea
1831,Titanic,1988,Thriller,George Lucas,121,2.3,South Korea
1832,Star Wars,2007,Ciencia Ficción,Wachowski Sisters,80,5.1,South Korea
1833,The Matrix,1991,Thriller,Ridley Scott,104,8.8,Japan
1834,Gladiator,1975,Comedia,Damien Chazelle,92,3.8,South Korea
1835,The Godfather,1950,Thriller,Ridley Scott,174,3.9,France
1836,The Shawshank Redemption,1970,Ciencia Ficción,David Fincher,83,7.7,Spain
1837,Inception,1986,Drama,George Lucas,118,8.0,Spain
1838,The Matrix,2012,Comedia,Hayao Miyazaki,123,6.9,Canada
1839,The Godfather,1998,Ciencia Ficción,Steven Spielberg,179,8.6,France
1840,Jurassic Park,1955,Historia,Quentin Tarantino,178,3.0,France
1841,Jurassic Park,1994,Musical,Ridley Scott,178,1.6,Japan
1842,Star Wars,2006,Crimen,Quentin Tarantino,80,2.1,France
1843,Star Wars,2010,Acción,George Lucas,83,7.8,France
1844,Inception,1979,Animación,James Cameron,92,1.8,USA
1845,Spirited Away,1952,Romance,Martin Scorsese,170,3.9,USA
1846,Fight Club,2014,Historia,Damien Chazelle,102,2.2,Germany
1847,The Godfather,1999,Ciencia Ficción,Bong Joon-ho,174,4.0,USA
1848,Gladiator,2022,Animación,Damien Chazelle,87,6.1,Spain
1849,Schindler's List,2017,Ciencia Ficción,Francis Ford Coppola,127,7.8,Australia
1850,The Matrix,2013,Animación,Hayao Miyazaki,145,8.1,France
1851,The Dark Knight,2000,Romance,James Cameron,94,3.7,South Korea
1852,Inception,1996,Romance,Wachowski Sisters,117,5.8,Italy
1853,Pulp Fiction,1976,Ciencia Ficción,David Fincher,159,9.5,France
1854,Titanic,1992,Ciencia Ficción,Bong Joon-ho,113,5.5,South Korea
1855,Interstellar,2010,Musical,Martin Scorsese,98,3.2,Japan
1856,Avengers: Endgame,1978,Romance,Wachowski Sisters,82,7.7,USA
1857,Forrest Gump,1970,Animación,Hayao Miyazaki,167,1.3,UK
1858,The Lord of the Rings,2022,Musical,Hayao Miyazaki,155,4.9,Italy
1859,Jurassic Park,1972,Drama,George Lucas,148,4.1,UK
1860,Gladiator,2016,Historia,David Fincher,170,3.9,USA
1861,The Shawshank Redemption,2012,Thriller,James Cameron,147,9.5,UK
1862,The Godfather,1981,Ciencia Ficción,Christopher Nolan,115,5.8,Canada
1863,Interstellar,1999,Animación,Steven Spielberg,82,2.2,UK
1864,Parasite,1959,Animación,Bong Joon-ho,170,3.5,South Korea
1865,Parasite,2023,Musical,Peter Jackson,144,7.5,Italy
1866,Star Wars,2008,Animación,Ridley Scott,151,2.5,France
1867,Titanic,1956,Romance,Hayao Miyazaki,168,6.6,Japan
1868,Jurassic Park,2018,Animación,Quentin Tarantino,110,4.5,USA
1869,Pulp Fiction,1958,Comedia,Christopher Nolan,143,9.0,USA
1870,Inception,1975,Romance,Christopher Nolan,122,1.5,Italy
1871,Fight Club,1967,Ciencia Ficción,Bong Joon-ho,121,3.6,South Korea
1872,Avengers: Endgame,1954,Thriller,Peter Jackson,160,9.8,Germany
1873,The Matrix,1977,Crimen,Hayao Miyazaki,110,8.9,Australia
1874,Star Wars,1972,Crimen,Bong Joon-ho,130,7.8,Japan
1875,La La Land,1974,Ciencia Ficción,Quentin Tarantino,117,3.7,South Korea
1876,Interstellar,2009,Ciencia Ficción,Damien Chazelle,127,8.0,USA
1877,La La Land,1993,Historia,George Lucas,80,3.9,Italy
1878,Pulp Fiction,1966,Animación,Bong Joon-ho,98,5.6,Japan
1879,Pulp Fiction,1999,Acción,Steven Spielberg,172,7.2,Germany
1880,Star Wars,1962,Ciencia Ficción,Quentin Tarantino,88,9.5,UK
1881,The Dark Knight,1977,Comedia,Steven Spielberg,137,6.8,South Korea
1882,Star Wars,1960,Comedia,Peter Jackson,97,6.6,South Korea
1883,Fight Club,2012,Drama,George Lucas,100,3.5,Australia
1884,Parasite,1968,Crimen,James Cameron,117,4.8,South Korea
1885,Jurassic Park,2019,Ciencia Ficción,Quentin Tarantino,163,5.3,UK
1886,The Godfather,2006,Thriller,Steven Spielberg,172,8.1,USA
1887,Inception,1973,Drama,Peter Jackson,87,5.7,Australia
1888,Spirited Away,1989,Drama,Francis Ford Coppola,124,7.4,Canada
1889,Pulp Fiction,2006,Crimen,Christopher Nolan,146,3.3,Japan
1890,The Dark Knight,1998,Drama,George Lucas,126,5.0,Spain
1891,Inception,1981,Animación,James Cameron,118,4.4,Australia
1892,Forrest Gump,1999,Animación,Hayao Miyazaki,128,9.2,Japan
1893,The Lion King,1977,Animación,Martin Scorsese,137,2.4,Japan
1894,The Lion King,2007,Acción,Martin Scorsese,147,7.0,France
1895,Titanic,1994,Ciencia Ficción,Peter Jackson,150,3.5,Japan
1896,The Lord of the Rings,1956,Ciencia Ficción,David Fincher,102,9.9,Spain
1897,The Lord of the Rings,1995,Musical,Peter Jackson,125,7.2,South Korea
1898,Titanic,1986,Thriller,David Fincher,149,4.7,South Korea
1899,La La Land,1973,Romance,David Fincher,173,2.7,Canada
1900,The Godfather,1995,Animación,James Cameron,139,5.7,Italy
